id,couple,segment,domaine,famille,famille_nom,profil_public_propose,revision_editoriale,pilote,largeur_m,profondeur_m,hauteur_m,dimensions_v3_LxPxH_m,theme_revue_v3,theme_revue_code,declinaisons_styles,facade_locale_grande_echelle,volume_local_m,parvis_propose_m,raccord_legacy_revue_LxHxP_m,raccord_v2_regle,facade_layout_v3,layout_propre,prop_1,prop_2,prop_3,props_complementaires,props_v3_complets,limites_editoriales,refs_inspiration,render_exterieur_canonique,render_interieur_canonique,sous_budget_interieur,statut
C01,entreprise/technologie-informatique,entreprise,technologie-informatique,F01,tertiaire,vp-c01,r1,non,8,12,3.4,8x12x3.4,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Siège technologie, baie aluminium accueil vitré ; accueil latéral, travail collaboratif, salle démonstration séparée","Accueil latéral gauche depuis le seuil ; plateau collaboratif au centre ; salle de démonstration distincte au fond droit avec baie réseau fermée et maquettes, accessible sans traverser les postes.",Baie réseau factice fermée,postes éteints,maquettes électroniques neutres,aucun item V3 supplémentaire,"Baie réseau factice fermée, postes éteints, maquettes électroniques neutres",Aucun produit vendu ni client ni ecran ERP ni marque,1|4,vp-c01-r1-exterior,vp-c01-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C02,entreprise/alimentation-agroalimentaire,entreprise,alimentation-agroalimentaire,F03,halle,vp-c02,r1,non,18,24,6,18x24x6,Classic,0,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,oui,18x24x6,18x8,3.36x4.73x2.57,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Accueil agroalimentaire et hall technique local ; vestibule, galerie échantillons, zone démonstration conditionnement séparée des allées","Vestibule frontal du hall agroalimentaire ; galerie d'échantillons sur la rive gauche ; table inox et convoyeur de conditionnement statique en zone de démonstration droite, séparée de l'allée piétonne jusqu'à la sortie.",Contenants sans marques,table inox,convoyeur statique simplifié,aucun item V3 supplémentaire,"Contenants sans marques, table inox, convoyeur statique simplifié ; pas certification sanitaire ni production réelle",Conditionnement agroalimentaire illustratif seulement : ni grossiste substitué ni certification sanitaire ni production réelle ni stock/prix/marque/commande.,1|4|9_échelle_uniquement_pas_grossiste,vp-c02-r1-exterior,vp-c02-r1-interior,hall_grand_volume,a_produire_apres_stop_pilotes
C03,entreprise/sante-paramedical,entreprise,sante-paramedical,F01,tertiaire,vp-c03,r1,non,8,10,3.2,8x10x3.2,Minimal,3,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.02x3.82x2.30,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Accueil paramédical neutre vitrage clair/minéral ; réception, conseil, démonstration ergonomie sans salle de soins","Réception près du seuil à droite ; conseil au centre gauche ; alcôve de démonstration ergonomique au fond avec assises, supports anatomiques abstraits et aides à la mobilité ; aucun espace de soins.",Assises réglables,supports anatomiques abstraits,aides mobilité génériques,aucun item V3 supplémentaire,"Assises réglables, supports anatomiques abstraits, aides mobilité génériques ; ni pharmacie ni croix ni soin","Supports anatomiques abstraits et aides de mobilité admis pour ergonomie ; aucune pharmacie, croix, salle de soins, patient, diagnostic ou certification.",4_ambiance_seulement,vp-c03-r1-exterior,vp-c03-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C04,entreprise/textile-habillement,entreprise,textile-habillement,F02,atelier,vp-c04,r1,non,12,18,4.8,12x18x4.8,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,oui,12x18x4.8,12x6,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Showroom professionnel textile et façade atelier locale ; accueil collection, table coupe, allée sécurisée autour assemblage illustratif","Accueil collection sur le bord avant ; mannequins anonymes et rouleaux le long du showroom ; table de coupe centrale ; postes d'assemblage illustratif statiques au fond, contournés par une allée sûre.",Rouleaux tissu,mannequins anonymes,machines couture statiques,aucun item V3 supplémentaire,"Rouleaux tissu, mannequins anonymes, machines couture statiques",Aucune marque ni production reelle ni employe ni promesse sur capacite ou provenance,4|5_matiere_seulement,vp-c04-r1-exterior,vp-c04-r1-interior,hall_grand_volume,a_produire_apres_stop_pilotes
C05,entreprise/transport-logistique,entreprise,transport-logistique,F03,halle,vp-c05,r1,oui,24,36,8,24x36x8,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,oui,24x36x8,24x12,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Accueil expédition et hall local quais ; réception, allée piétonne, colis, vue quais sans traverser engins","Réception au seuil du hall ; allée piétonne latérale vers la vue sur quais ; racks, palettes et colis dans la zone technique ; transpalette immobile hors passage et portes sectionnelles visibles sans traverser les engins.",Racks,palettes,colis vierges,transpalette statique ; portes sectionnelles,"Racks, palettes, colis vierges, transpalette statique, portes sectionnelles","Aucun flux réel, colis client, déplacement d'engin, chiffre logistique ni carte géographique ; les colis vierges et quais illustratifs sont conservés.",1|4|9_structure_seulement,vp-c05-r1-exterior,vp-c05-r1-interior,hall_grand_volume,pilote_avant_stop_humain
C06,entreprise/immobilier,entreprise,immobilier,F01,tertiaire,vp-c06,r1,non,9,12,3.4,9x12x3.4,Classic,0,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.36x4.73x2.57,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Siège immobilier minéral large baie ; accueil projets, salle réunion, galerie maquettes","Accueil projets à gauche ; galerie de maquettes fictives et plans sans adresses sur la rive droite ; salle de réunion au fond ; matériauthèque à son entrée, reliée par une circulation centrale.",Immeubles fictifs,plans sans adresses,matériauthèque,aucun item V3 supplémentaire,"Immeubles fictifs, plans sans adresses, matériauthèque",Aucun bien reel ni annonce ni prix ni rendement ni geolocalisation,4,vp-c06-r1-exterior,vp-c06-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C07,entreprise/energie-environnement,entreprise,energie-environnement,F01,tertiaire,vp-c07,r1,non,10,12,3.6,10x12x3.6,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Showroom technique brise-soleil ; accueil, bureau étude ouvert, alcôve démonstration énergie","Accueil devant le brise-soleil ; bureau d'étude ouvert sur la gauche ; alcôve énergie à droite au fond avec panneau factice, coupe d'isolation et échantillons illustratifs de matériaux recyclés, sans label attribué.",Panneau solaire factice,coupe isolation,matériaux recyclés,aucun item V3 supplémentaire,"Panneau solaire factice, coupe isolation, matériaux recyclés ; pas label attribué",Aucun label vert ni rendement ni economie ni installation certifiee ni donnees energie,4,vp-c07-r1-exterior,vp-c07-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C08,entreprise/communication-marketing,entreprise,communication-marketing,F05,conseil-studio,vp-c08,r1,non,10,14,3.6,10x14x3.6,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Grande agence créative ; accueil portfolio abstrait, plateau création, alcôve studio séparée","Accueil portfolio abstrait sur le côté avant ; plateau de création central dégagé ; alcôve studio séparée au fond avec cyclorama, trépied inerte et acoustique ; nuancier près du passage vers le plateau.",Cyclorama,trépied statique,panneaux acoustiques,nuancier,"Cyclorama, trépied statique, panneaux acoustiques, nuancier",Aucune campagne client ni marque ni audience ni promesse commerciale,4,vp-c08-r1-exterior,vp-c08-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C09,entreprise/artisanat,entreprise,artisanat,F02,atelier,vp-c09,r1,non,12,16,4.8,12x16x4.8,Artisan,4,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,oui,12x16x4.8,12x6,3.28x4.50x2.49,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Atelier fabrication bois/pierre, façade locale ; présentation pièces, préparation, allée autour établis/finition",Présentation des pièces devant la façade locale ; préparation des matières le long du mur gauche ; établis et finition bois/pierre au fond et à droite ; allée continue autour des outils inertes et des pièces.,Établis,pièces bois/céramique,outils inertes,matières,"Établis, pièces bois/céramique, outils inertes, matières",Aucune appellation artisanale certifiee ni copie motif protege ni atelier reel,4,vp-c09-r1-exterior,vp-c09-r1-interior,hall_grand_volume,a_produire_apres_stop_pilotes
C10,entreprise/autre,entreprise,autre,F01,tertiaire,vp-c10,r1,non,8,10,3.2,8x10x3.2,Classic,0,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.36x4.73x2.57,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Accueil professionnel neutre ; réception, réunion, présentation générique",Réception frontale décalée ; réunion compacte au fond gauche ; présentation générique à panneaux vierges sur la droite ; rangement fermé en périphérie sans ajout d'activité spécialisée.,Table réunion,panneaux vierges,rangement fermé,aucun item V3 supplémentaire,"Table réunion, panneaux vierges, rangement fermé",Aucun secteur devine ni activite specialisee ni document reel,1_ambiance_seulement,vp-c10-r1-exterior,vp-c10-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
